Continente,País,Consulado,Circ.Electoral,Local,Mesa,Mesas Fusionadas,Electores,Nro.voto,Opción Constitución Política,Votos TRICEL
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,1.0,1,345.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,1.0,1,345.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,2.0,2,347.0,1.0,APRUEBO,64.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,2.0,2,347.0,2.0,RECHAZO,18.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,2.0,2,347.0,900.0,VOTOS NULOS,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,2.0,2,347.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,3.0,3,303.0,1.0,APRUEBO,69.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,3.0,3,303.0,2.0,RECHAZO,22.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,3.0,3,303.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,MENDOZA,CONSULADO,3.0,3,303.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,1.0,1,341.0,1.0,APRUEBO,37.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,1.0,1,341.0,2.0,RECHAZO,7.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,1.0,1,341.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,1.0,1,341.0,901.0,VOTOS EN BLANCO,2.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,2.0,2,347.0,1.0,APRUEBO,24.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,2.0,2,347.0,2.0,RECHAZO,5.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,2.0,2,347.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,2.0,2,347.0,901.0,VOTOS EN BLANCO,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,3.0,3,343.0,1.0,APRUEBO,21.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,3.0,3,343.0,2.0,RECHAZO,2.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,3.0,3,343.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,3.0,3,343.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,4.0,4,346.0,1.0,APRUEBO,14.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,4.0,4,346.0,2.0,RECHAZO,3.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,4.0,4,346.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,4.0,4,346.0,901.0,VOTOS EN BLANCO,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,5.0,5,178.0,1.0,APRUEBO,24.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,5.0,5,178.0,2.0,RECHAZO,8.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,5.0,5,178.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,NEUQUEN,CONSULADO,5.0,5,178.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,RIO GALLEGOS,CONSULADO,1.0,1,215.0,1.0,APRUEBO,49.0
AMERICA,ARGENTINA,CONSULADO GRAL.,RIO GALLEGOS,CONSULADO,1.0,1,215.0,2.0,RECHAZO,6.0
AMERICA,ARGENTINA,CONSULADO GRAL.,RIO GALLEGOS,CONSULADO,1.0,1,215.0,900.0,VOTOS NULOS,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,RIO GALLEGOS,CONSULADO,1.0,1,215.0,901.0,VOTOS EN BLANCO,2.0
AMERICA,ARGENTINA,CONSULADO GRAL.,ROSARIO,LOCAL EDUCACIONAL,1.0,1,268.0,1.0,APRUEBO,72.0
AMERICA,ARGENTINA,CONSULADO GRAL.,ROSARIO,LOCAL EDUCACIONAL,1.0,1,268.0,2.0,RECHAZO,8.0
AMERICA,ARGENTINA,CONSULADO GRAL.,ROSARIO,LOCAL EDUCACIONAL,1.0,1,268.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,ROSARIO,LOCAL EDUCACIONAL,1.0,1,268.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,SALTA,CONSULADO,1.0,1,112.0,1.0,APRUEBO,16.0
AMERICA,ARGENTINA,CONSULADO GRAL.,SALTA,CONSULADO,1.0,1,112.0,2.0,RECHAZO,6.0
AMERICA,ARGENTINA,CONSULADO GRAL.,SALTA,CONSULADO,1.0,1,112.0,900.0,VOTOS NULOS,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,SALTA,CONSULADO,1.0,1,112.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,SAN LUIS,LOCAL PRIVADO,1.0,1,174.0,1.0,APRUEBO,59.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,SAN LUIS,LOCAL PRIVADO,1.0,1,174.0,2.0,RECHAZO,6.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,SAN LUIS,LOCAL PRIVADO,1.0,1,174.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,SAN LUIS,LOCAL PRIVADO,1.0,1,174.0,901.0,VOTOS EN BLANCO,1.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,TRELEW,LOCAL PRIVADO,1.0,1,199.0,1.0,APRUEBO,18.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,TRELEW,LOCAL PRIVADO,1.0,1,199.0,2.0,RECHAZO,5.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,TRELEW,LOCAL PRIVADO,1.0,1,199.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,LOCAL ADICIONAL,TRELEW,LOCAL PRIVADO,1.0,1,199.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BOLIVIA,CONSULADO GRAL.,COCHABAMBA,LOCAL PRIVADO,1.0,1,258.0,1.0,APRUEBO,52.0
AMERICA,BOLIVIA,CONSULADO GRAL.,COCHABAMBA,LOCAL PRIVADO,1.0,1,258.0,2.0,RECHAZO,40.0
AMERICA,BOLIVIA,CONSULADO GRAL.,COCHABAMBA,LOCAL PRIVADO,1.0,1,258.0,900.0,VOTOS NULOS,1.0
AMERICA,BOLIVIA,CONSULADO GRAL.,COCHABAMBA,LOCAL PRIVADO,1.0,1,258.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BOLIVIA,CONSULADO GRAL.,LA PAZ,CONSULADO,1.0,1-2,121.0,1.0,APRUEBO,31.0
AMERICA,BOLIVIA,CONSULADO GRAL.,LA PAZ,CONSULADO,1.0,1-2,121.0,2.0,RECHAZO,24.0
AMERICA,BOLIVIA,CONSULADO GRAL.,LA PAZ,CONSULADO,1.0,1-2,121.0,900.0,VOTOS NULOS,0.0
AMERICA,BOLIVIA,CONSULADO GRAL.,LA PAZ,CONSULADO,1.0,1-2,121.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BOLIVIA,CONSULADO GRAL.,SANTA CRUZ,CONSULADO,1.0,1,305.0,1.0,APRUEBO,67.0
AMERICA,BOLIVIA,CONSULADO GRAL.,SANTA CRUZ,CONSULADO,1.0,1,305.0,2.0,RECHAZO,78.0
AMERICA,BOLIVIA,CONSULADO GRAL.,SANTA CRUZ,CONSULADO,1.0,1,305.0,900.0,VOTOS NULOS,0.0
AMERICA,BOLIVIA,CONSULADO GRAL.,SANTA CRUZ,CONSULADO,1.0,1,305.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BRASIL,CONSULADO GRAL.,PORTO ALEGRE,CONSULADO,1.0,1,153.0,1.0,APRUEBO,32.0
AMERICA,BRASIL,CONSULADO GRAL.,PORTO ALEGRE,CONSULADO,1.0,1,153.0,2.0,RECHAZO,11.0
AMERICA,BRASIL,CONSULADO GRAL.,PORTO ALEGRE,CONSULADO,1.0,1,153.0,900.0,VOTOS NULOS,1.0
AMERICA,BRASIL,CONSULADO GRAL.,PORTO ALEGRE,CONSULADO,1.0,1,153.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BRASIL,CONSULADO GRAL.,RIO DE JANEIRO,CONSULADO,1.0,1,335.0,1.0,APRUEBO,71.0
AMERICA,BRASIL,CONSULADO GRAL.,RIO DE JANEIRO,CONSULADO,1.0,1,335.0,2.0,RECHAZO,26.0
AMERICA,BRASIL,CONSULADO GRAL.,RIO DE JANEIRO,CONSULADO,1.0,1,335.0,900.0,VOTOS NULOS,1.0
AMERICA,BRASIL,CONSULADO GRAL.,RIO DE JANEIRO,CONSULADO,1.0,1,335.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,1.0,1,334.0,1.0,APRUEBO,52.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,1.0,1,334.0,2.0,RECHAZO,17.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,1.0,1,334.0,900.0,VOTOS NULOS,0.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,1.0,1,334.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,2.0,2,337.0,1.0,APRUEBO,61.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,2.0,2,337.0,2.0,RECHAZO,19.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,2.0,2,337.0,900.0,VOTOS NULOS,0.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,2.0,2,337.0,901.0,VOTOS EN BLANCO,0.0
